TX_ID	SYMBOL	CHROM	STRAND	TX_START	TX_END	5_UTR	TX_EXONS	3_UTR	CDS_LENGTH
ENST00000430799	ARID1A	1	1	26693236	26781177	[(26693236, 26693617), (26729651, 26729662)]	[(26693236, 26693617), (26729651, 26729863), (26731152, 26731604), (26732676, 26732792), (26760856, 26761096), (26761384, 26761473), (26762152, 26762319), (26762973, 26763285), (26766221, 26766366), (26766457, 26766566), (26767790, 26767999), (26771119, 26771326), (26772500, 26772632), (26772815, 26772987), (26773346, 26773496), (26773580, 26773717), (26773802, 26773898), (26774329, 26775220), (26775577, 26775707), (26779023, 26781177)]	[(26780757, 26781177)]	5706
ENST00000637465	ARID1A	1	1	26696032	26731568	[(26696032, 26696100), (26729651, 26729662)]	[(26696032, 26696100), (26729651, 26729863), (26731152, 26731568)]	[]	618
ENST00000524572	ARID1A	1	1	26727708	26731318	[(26727708, 26727873), (26729651, 26729662)]	[(26727708, 26727873), (26729651, 26729863), (26731152, 26731318)]	[]	368
ENST00000457599	ARID1A	1	1	26695164	26780817	[]	[(26695164, 26697540), (26729651, 26729863), (26731152, 26731604), (26732676, 26732792), (26760856, 26761096), (26761384, 26761473), (26762152, 26762319), (26762973, 26763285), (26766221, 26766366), (26766457, 26766566), (26767790, 26767999), (26771119, 26771326), (26772500, 26772632), (26772812, 26772987), (26773346, 26773496), (26773580, 26773717), (26773802, 26773898), (26774980, 26775220), (26775577, 26775707), (26779023, 26780817)]	[(26780757, 26780817)]	7447
ENST00000636219	ARID1A	1	1	26729657	26782102	[]	[(26729657, 26729863), (26731152, 26731604), (26732676, 26732792), (26760856, 26761096), (26761384, 26761473), (26762152, 26762319), (26762973, 26763285), (26766221, 26766366), (26766457, 26766566), (26767790, 26767999), (26771119, 26771326), (26772500, 26772632), (26772815, 26772987), (26773346, 26773496), (26773580, 26773717), (26773802, 26773898), (26774329, 26775220), (26775577, 26775707), (26779023, 26782102)]	[(26780757, 26782102)]	5712
ENST00000324856	ARID1A	1	1	26696015	26782104	[(26696015, 26696403)]	[(26696015, 26697540), (26729651, 26729863), (26731152, 26731604), (26732676, 26732792), (26760856, 26761096), (26761384, 26761473), (26762152, 26762319), (26762973, 26763285), (26766221, 26766366), (26766457, 26766566), (26767790, 26767999), (26771119, 26771326), (26772500, 26772632), (26772812, 26772987), (26773346, 26773496), (26773580, 26773717), (26773802, 26773898), (26774329, 26775220), (26775577, 26775707), (26779023, 26782104)]	[(26780757, 26782104)]	6858
ENST00000374152	ARID1A	1	1	26728912	26780756	[(26728912, 26729662)]	[(26728912, 26729863), (26731152, 26731604), (26732676, 26732792), (26760856, 26761096), (26761384, 26761473), (26762152, 26762319), (26762973, 26763285), (26766221, 26766366), (26766457, 26766566), (26767790, 26767999), (26771119, 26771326), (26772500, 26772632), (26772812, 26772987), (26773346, 26773496), (26773580, 26773717), (26773802, 26773898), (26774329, 26775220), (26775577, 26775707), (26779023, 26780756)]	[]	5709
ENST00000674298	ARID1B	6	1	156777941	157051912	[]	[(156777941, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (157036835, 157036876), (157050914, 157051912)]	[(157050923, 157051912)]	2038
ENST00000637810	ARID1B	6	1	157084772	157208361	[(157084772, 157084905), (157110472, 157110479)]	[(157084772, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157208361)]	[(157207892, 157208361)]	4461
ENST00000635849	ARID1B	6	1	157022286	157208694	[(157022286, 157022578), (157036835, 157036876), (157084662, 157084905), (157110472, 157110479)]	[(157022286, 157022578), (157036835, 157036876), (157084662, 157084905), (157110472, 157110561), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157208694)]	[(157207892, 157208694)]	4440
ENST00000414678	ARID1B	6	1	156777681	157209142	[]	[(156777681, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157209142)]	[(157207892, 157209142)]	7029
ENST00000494260	ARID1B	6	1	156779400	156870527	[]	[(156779400, 156779471), (156829227, 156829421), (156870099, 156870527)]	[(156870126, 156870527)]	294
ENST00000637532	ARID1B	6	1	156829410	156936673	[]	[(156829410, 156829421), (156901376, 156901525), (156935466, 156935576), (156936502, 156936673)]	[(156936511, 156936673)]	282
ENST00000400790	ARID1B	6	1	157148911	157186610	[]	[(157148911, 157148951), (157167040, 157167185), (157174008, 157174117), (157180969, 157181178), (157184231, 157186610)]	[(157184546, 157186610)]	822
ENST00000636930	ARID1B	6	1	156777378	157210779	[(156777378, 156777680)]	[(156777378, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157210779)]	[(157207892, 157210779)]	7119
ENST00000350026	ARID1B	6	1	156777681	157209142	[]	[(156777681, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157209142)]	[(157207892, 157209142)]	6960
ENST00000635928	ARID1B	6	1	157206617	157209150	[]	[(157206617, 157207491), (157208475, 157209150)]	[(157208539, 157209150)]	939
ENST00000638000	ARID1B	6	1	156779464	156985644	[]	[(156779464, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (156984708, 156985644)]	[(156984819, 156985644)]	575
ENST00000636748	ARID1B	6	1	156779400	156943901	[]	[(156779400, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156943901)]	[(156935610, 156943901)]	561
ENST00000637003	ARID1B	6	1	157030306	157141277	[(157030306, 157030374), (157036835, 157036876), (157084662, 157084905), (157110472, 157110479)]	[(157030306, 157030374), (157036835, 157036876), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157140613, 157141277)]	[(157140645, 157141277)]	294
ENST00000637887	ARID1B	6	1	156935545	157072575	[]	[(156935545, 156935576), (157036835, 157036876), (157071182, 157072575)]	[(157071188, 157072575)]	80
ENST00000637015	ARID1B	6	1	156777681	157209259	[]	[(156777681, 156779471), (156829227, 156829421), (156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157150725, 157150853), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157209259)]	[(157207892, 157209259)]	7248
ENST00000637904	ARID1B	6	1	157036315	157208683	[(157036315, 157036521), (157036835, 157036876), (157084662, 157084905), (157110472, 157110479)]	[(157036315, 157036521), (157036835, 157036876), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157208683)]	[(157207892, 157208683)]	4620
ENST00000635957	ARID1B	6	1	157148908	157207868	[]	[(157148908, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190041, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157207868)]	[]	4048
ENST00000346085	ARID1B	6	1	156776020	157210779	[(156776020, 156776126), (156776862, 156777680)]	[(156776020, 156776126), (156776862, 156779471), (156829227, 156829421), (156871614, 156871652), (156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157180969, 157181178), (157184231, 157184435), (157189642, 157189780), (157190038, 157190210), (157196165, 157196315), (157198811, 157198907), (157200705, 157201488), (157203866, 157203996), (157206167, 157210779)]	[(157207892, 157210779)]	6999
ENST00000319584	ARID1B	6	1	156901376	157186620	[]	[(156901376, 156901525), (156935466, 156935576), (157084662, 157084905), (157110472, 157110561), (157133028, 157133207), (157148624, 157148951), (157167040, 157167185), (157174008, 157174117), (157174847, 157175005), (157180969, 157181178), (157184231, 157184435), (157186355, 157186620)]	[(157186606, 157186620)]	2184
ENST00000636607	ARID1B	6	1	156779418	156870276	[]	[(156779418, 156779471), (156829227, 156829421), (156870120, 156870276)]	[(156870126, 156870276)]	255
ENST00000477947	ARID2	12	1	45892043	45893888	[]	[(45892043, 45892096), (45893420, 45893888)]	[(45893559, 45893888)]	193
ENST00000334344	ARID2	12	1	45729706	45908037	[(45729706, 45729836)]	[(45729706, 45729928), (45730044, 45730137), (45731217, 45731314), (45811418, 45811551), (45817670, 45817888), (45821420, 45821487), (45836589, 45836655), (45836741, 45836991), (45837321, 45837417), (45837498, 45837707), (45839329, 45839496), (45846856, 45846937), (45848836, 45848970), (45849580, 45849776), (45850036, 45852896), (45860801, 45860949), (45891780, 45891918), (45892011, 45892096), (45893420, 45893543), (45893630, 45893721), (45904934, 45908037)]	[(45905079, 45908037)]	5508
ENST00000457135	ARID2	12	1	45851915	45908040	[]	[(45851915, 45852896), (45860801, 45860949), (45891780, 45891918), (45892011, 45892096), (45893420, 45893543), (45893630, 45893721), (45904342, 45904398), (45904934, 45908040)]	[(45904361, 45904398), (45904934, 45908040)]	1591
ENST00000444670	ARID2	12	1	45837395	45908040	[]	[(45837395, 45837417), (45837498, 45837707), (45839386, 45839496), (45846856, 45846937), (45848836, 45848970), (45849580, 45849776), (45850036, 45852896), (45860801, 45860949), (45891780, 45891918), (45892011, 45892096), (45893420, 45893543), (45893630, 45893721), (45904934, 45908040)]	[(45905079, 45908040)]	4354
ENST00000422737	ARID2	12	1	45729706	45893918	[(45729706, 45729836)]	[(45729706, 45729928), (45730044, 45730137), (45731217, 45731314), (45811418, 45811551), (45817670, 45817888), (45821420, 45821487), (45836589, 45836655), (45836741, 45836991), (45837321, 45837417), (45837498, 45837707), (45839329, 45839496), (45846856, 45846937), (45848836, 45848970), (45849580, 45849776), (45850036, 45852896), (45860801, 45860949), (45891780, 45891918), (45892011, 45892096), (45893420, 45893543), (45893630, 45893918)]	[(45893726, 45893918)]	5367
ENST00000646985	ASXL1	20	1	32359065	32439318	[(32359065, 32359307)]	[(32359065, 32359334), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32428128, 32428248), (32428325, 32428422), (32429338, 32429431), (32431321, 32431484), (32431583, 32431679), (32432880, 32432985), (32433284, 32433917), (32434432, 32439318)]	[(32437339, 32439318)]	4443
ENST00000643168	ASXL1	20	1	32359237	32429357	[(32359237, 32359642), (32366384, 32366410)]	[(32359237, 32359642), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32428128, 32428248), (32428325, 32428422), (32429338, 32429357)]	[]	407
ENST00000651418	ASXL1	20	1	32358330	32439260	[(32358330, 32358775)]	[(32358330, 32358832), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32428128, 32428248), (32428325, 32428422), (32429338, 32429431), (32429901, 32430053), (32431321, 32431484), (32431583, 32431679), (32432880, 32432985), (32433284, 32433917), (32434432, 32434581), (32438430, 32439260)]	[(32438439, 32439260)]	1878
ENST00000306058	ASXL1	20	1	32359747	32439318	[]	[(32359747, 32359791), (32366384, 32366466), (32369015, 32369123), (32428128, 32428248), (32428325, 32428422), (32429338, 32429431), (32429901, 32430053), (32431321, 32431484), (32431583, 32431679), (32432880, 32432985), (32433284, 32433917), (32434432, 32439318)]	[(32437339, 32439318)]	4611
ENST00000375687	ASXL1	20	1	32358331	32439319	[(32358331, 32358775)]	[(32358331, 32358832), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32428128, 32428248), (32428325, 32428422), (32429338, 32429431), (32429901, 32430053), (32431321, 32431484), (32431583, 32431679), (32432880, 32432985), (32433284, 32433917), (32434432, 32439319)]	[(32437339, 32439319)]	4626
ENST00000646367	ASXL1	20	1	32358349	32372549	[(32358349, 32358775)]	[(32358349, 32358832), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32372164, 32372549)]	[(32372170, 32372549)]	258
ENST00000497249	ASXL1	20	1	32359110	32372238	[(32359110, 32359307)]	[(32359110, 32359334), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32372164, 32372238)]	[(32372170, 32372238)]	228
ENST00000375689	ASXL1	20	1	32359565	32372553	[(32359565, 32359746)]	[(32359565, 32359791), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32372164, 32372553)]	[(32372170, 32372553)]	246
ENST00000645688	ASXL1	20	1	32360348	32428193	[(32360348, 32360586), (32366384, 32366410)]	[(32360348, 32360586), (32366384, 32366466), (32367727, 32367729), (32369015, 32369123), (32428128, 32428193)]	[]	234
ENST00000618960	AXIN2	17	-1	65528567	65561647	[(65561450, 65561647), (65558621, 65558736)]	[(65561450, 65561647), (65557806, 65558736), (65549520, 65549660), (65541455, 65541557), (65538203, 65538343), (65537324, 65537835), (65536320, 65536553), (65535626, 65535721), (65533912, 65534079), (65528567, 65530102)]	[(65528567, 65529975)]	2337
ENST00000577278	AXIN2	17	-1	65557806	65560557	[(65560513, 65560557), (65558621, 65558736)]	[(65560513, 65560557), (65557806, 65558736)]	[]	815
